순위,관광지ID,관광지명,분류
85,d9c6911a1bd8bad9d903ed89edafe78d,가음정시장,시장
86,350622396516c291c937eb6325760be9,인터내셔널호텔,호텔
87,1609444050d9fa709b45e52c01785746,삼덕항,자연경관(하천/해양)
88,682373bcf1388628ad9cf65bee39eacd,동의보감촌,기타관광
89,cab43fb0c8c154db03268b314c67a684,남산시외버스정류소,교통시설
90,60303c68d2335d4db1b3095d9e1108ec,영남알프스얼음골케이블카,기타관광
91,e69dd75a6a5f723cdf03a88243ec5a51,제63회 진해군항제,기타문화관광지
92,88b1fd7fe33a0ec997575b13367e7afb,김해가야테마파크,테마공원
93,4d1f8cf92b6d907e7a4c95dfeaf8ef0c,위양지,자연경관(하천/해양)
94,e14fd78a1df8f9502e62231d441b6bdc,진해해양공원,도시공원
95,0fa3213717b0dedea4193b0eda287501,양산동원로얄CC,육상레저스포츠
96,ef089f04bfda5614a6f6441449722f92,경상남도수목원,자연공원
97,6def1a8aca5b86a51388a93705cb7d4e,아이스퀘어호텔,호텔
98,6ce0f44b67a280531a6a7be5fe4fdc33,삼랑진역,교통시설
99,ac046555eb494877bec02787293bc2df,스파더스페이스,웰니스관광
100,463c46a320b57e1dd8f51d0dbebb1926,고성노벨CC,육상레저스포츠
